,,before,sentence,after,final
2420,20,"* Today, there are new stories of Jihad being seen today, yet the secular insects bring knowledge to Hindus and Hindu Muslim 👿 👿   brothers Let's chant the rosary of * A jihadist in Amerut.","Salim, a taxi driver, commutes on an average every 2 days.","It is a case of robbery to kill 👺  2 riders, but in reality it is a form of jihad.",none
2421,21,"If you have a beard with a raised peacekeeper, then you need to be careful what you do .. No matter how much he loves Give .. Give respect .. You are a Kafir for that ..",Such a Kafir whom he promises 5 times a day .. to his God and every madman to imprint his madrasa teaches him the methods for this .. he discusses the target to each and every one .. they do their planning.,You do not know but they talk about your property in the mosque .. your daughter and a group is formed with the consent of the cleric who looks after you.,culture
2422,22,"If you beat them, you will go to jail but they will be saved because there will be no law to punish them.",.... We want Congress to inform its friends and neighbors about this conspiracy which is going to end the sedition law and set it on fire in the country.,"After the disgrace of the treason law, there will be a very terrible result, thinking that you will rise to the throne.",none
2423,23,_🇸🇦🇵🇰🇲🇷 * * 🇸🇦 _ The temples are being broken 🇸 🇲 🇵 🇰   🇷   🇦   in place in the country.,Construction of mosques across the country is underway from Zoro Shoro 🇦  🇸  ._🇸🇦🇲🇷🇵🇰 *.,* 🇸🇦 _ Here Pakistan-China have jointly attacked India; Army is dying on boarder; fierce civil war is going on in the country here ._🇸🇦🇵🇰🇲🇷 🇷 🇰  🇵  🇸 🇦    🇲  🇦  🇸  * (👉https: //youtu.be/ YPvxPH-gBEY 🤳🏻) * 🇸🇦 _The law is in the hands of the entire Muslim; Hindus are being cut on the road from place 🇵 🇲 🇷   🇸 🇦   🇰   🇦  🇸  to place!,culture
2424,24,May be so that an underdeveloped Muslim can be developed …….,"Now beware if someone blames the Muslims for their undevelopment because of their underdevelopment… according to their religious practices, they can produce four marriage-twenty four children They may not be able to produce bread for two days to feed them ....","They should not send their children to school or send them, but they can send alip in madrasas.",culture
2425,25,"Simple straightforward women of the village do not have the power to argue, due to which they get caught in the clutches of Muslim babas and take other women of their village along with them to rub the forehead in the dargahs.",But there are also many areas where vigilant Jat youths smashed the newly established mausoleum and slammed it and beat the mullet fiercely and drove it away.,(Salutations to such conscious youth !!),oppression
2426,26,Now the whole world has started hating and people are not even ready to see Islam in any way ..,"It is good if you come to your senses or you will be erased ... One thing of true nationalists or Hindutva lovers For every Muslim hates America, is it ever  Tried to know?","Nowadays our Hindu siblings in India are also loudly raising their voice against Modi, did you think that you are putting the whey in your own roots by coming under someone's deception?",culture
2427,27,This is not enough and the boys of 16-25 have spoiled most of their parts by getting intoxicated ..,There is a place… !!,And that is… middle class family girls in India… !!!,none
2428,28,Koran 5:51 O who believes you!,If you enjoy unbelief rather than faith then your father or de  Do not choose your brothers for friends.,Those of you who take them out for friends are wrongdoers.,culture
2429,29,"He is asked forcibly (beaten), he is killed by burning oil after being told to be a Hindu.",Panic throughout the area since the incident.,"There are just four incidents written above and if needed, I will give it ... Maybe it will take a whole year to write and note it.",none
2430,30,"************************************************** ************** Today, an emergency meeting of prominent Hinduists and prominent people of Tyagi Samaj took place at Motinagar in Delhi on the call of Yeti Narasimhanand Saraswati Ji Maharaj at Rajnagar District Center in Ghaziabad.","In the mahapanchayat held in Delhi, the maximum number of people had reached from Ghaziabad itself.","In today's meeting, the people of Tyagi community took a pledge that whatever Tyagi their land, their property or house will be after any Muslim If you rent or sell, then the community will not keep the relationship of roti beti with them.",none
2431,31,It was the Congress which damaged the fire in Harmandir Saheb and killed hundreds of Sikhs.,The Congress itself opened fire in the Ram Mandir movement and hundreds of Hindus were killed.,It was the Congress that laid the foundation for Muslim appeasement in India and made it big.,none
2432,32,I had explained to them that I will try my best to accept your family and you leave this hell and stay back with your families in India.,I went to Delhi to meet their families.,And apprised their daughter's position but the families of both do not want the girls to return.,none
2433,33,,Is coalition leader Mamata Banerjee working on the issue of Islamization and Partition in Bengal?,👉  Amit Shah cannot take off his helicopter in Bengal.,oppression
2434,34,"Despite being loyal, Akbar got angry one day and broke the idols of his worship.","After slavery to Akbar throughout his life, Todarmal resigned from the court at the last moment of his life after admitting his mistake and went to Haridwar via Varanasi and died there with the desire to lay down his life to atone for his sins.",Writer and Navratna Abul Fazal was described by Smith as a top-notch smooth-tongued smoothie of Akbar.,oppression
2435,35,"In 2005, sociologist Dr. Peter Hammond, after deep research, wrote a book on the worldwide trend of believers of Islam, entitled 'Slavery, Terrorism and Islam - The Historical Roots and Contemporary Threat'.","Along with this, Leon Yuris, author of 'The Hajj' has also elaborated on this subject in detail in his book.","The facts that have come out are not only shocking, but also worrying.",none
2436,36,,"* 🚩  कोर्ट Court decided to distribute the Quran, but by how long did it happen 🤔  with Hindus?",* * 🤔 First told a bad fan and then caught back lollipap ...,culture
2437,37,,"Indian Penal Code of Hindu Girls, Sharia and Macaulay (IP C.) ------------------------------------ ------ copied post.","Finally a comment from me, -------------------------------------------- In Pakistan, two Hindu girls, Raveena age 13 and Reena age 15, were picked up from their home on Holi.",none
2438,38,"Sadhvi Didi said, ""One day it happened that while a policeman got tired while hitting me, he started beating another, while my lung membrane was torn, yet the heretic kept beating mercilessly.""","Sadhvi Didi said, ""I fell unconscious after breaking the spine.","When I regained consciousness, I saw that all the saffron clothes had been removed from my body.",none
2439,39,In front of this crime dwarfed me all the crimes ... because the patient ... considers the doctor as God ... That doctor should eliminate the expectation of his children and the generations to come ... just because the Kafir does not have the right to live ... so the possibility of becoming a fetus should be sterilized and eliminated ... Has been… but the pen is breaking its spirits in writing on this subject….,Kakaji Kahin,,none
2440,40,That too with full evidence.,"During his bloody reign of hundreds of years, the Hindu people of India ran and settled from one corner of the country to save the honor of their women.",Thousands of Hindu women consumed themselves by burning themselves in the flame of Jauhar to protect them from these Muslim rapists.,oppression
2441,41,"We are destroying the house of Hindus, but we are sleeping peacefully.",The movements that take place in the name of Hindutva Ram temple are limited to the 🤔  Ram Janmabhoomi and cow slaughter prohibition.,They want nothing more than this.,none
2442,42,Do it by yourself.,* * The hate will end only ... * * When the country will be before the religion * * 👉 and people of other religions will not be infatuated.,* * Watch this video and understand what was contributed.,none
2443,43,"The Sri Lankan newspaper Diwaina, famous for its staunch nationalism, published a report on its first page claiming that a Muslim doctor secretly sterilized about 4000 Sinhala Buddhist women after Caesarean delivery.",The doctor was not identified in this unconfirmed report.,"According to this report, the doctor is a member of the local Islamic organization Tauheed Jamaat responsible for the terrorist attack on Easter Sunday.",none
2444,44,Which is not an Islamic country …… and see that they blame those countries which are not Islamic…!,Or where the leadership of Muslims is not there .....!,Muslims always blamed the countries where they are happy .......!,culture
2445,45,* There is a word in the Quran.,"""Put your hand in jaggery till the elbow, then pour it in the sesame sack, as many times the sesame stick in the hand, any time a Muslim should swear the Quran and assure it to be yours, still don't believe in Muslims.""",,culture
2446,46,"It has happened once in India, though it has happened 👉  in pieces.",* * Agjwa-e-Hind has 6 main process levels.,"* 17-Al-Takiyya: * * This is the stage when the alleged peace-loving weakens Or in small numbers, it is considered fair to lie to the Kafirs and cheat them.",culture
2447,47,Condemnation.,Condemnation only.,"Condemnation, hearing is embarrassed.",none
2448,48,"How can we adopt such a religion ?, who is afraid of murder if not adopted, I love the Gayatri Mantra, which makes me fearless.","What they are saying .. Baba, who had converted, made his last attempt.","But Vaidehi questioned Baba, * ""Baba, you had told one day that two children of Guru Gobind Singh had been brought alive in the wall, but they had not accepted Islam, am I not the younger sister of those Sikh brothers?",none
2449,49,* 😡😡👇🏿👇🏿 * Gajwa-i-Hind means that all non-Muslims in 👇 👇 🏿   🏿   😡  😡  India are Islamic.,Implementing Sharia for which either kill them off or make them accept Islam or keep them alive as long as they keep giving a part of their earnings to the Islamic government in the form of 'Jiziya tax'.,* 🐖🐖😎😎😡 गज * Gajwa-e-Hind 🐖 😎 😡 🐖 🐖   😡   😎   🐖   has 7 stages --- 🐖 🐖   🐖  * 🐖🐖🐖 * 1.,oppression
2450,50,"But friends, this is not a concoction, it is a true ideology that is anti-India and Hindu.",Used to be.,"But the question arises in our mind that what is ""Gajwa-e-Hind"" after all?",none
2451,51,"Whatever the reason, the purpose is the same!",There are many people in India who oppose Narendra Modi by coming to the talks of corrupt leaders!,"It is good, whether you oppose democracy or support it is your right, but who are you supporting by opposing Modi, this is a very serious question, so the decision should be made seriously!",none
2452,52,"A skilled politician who is adorned with a skilled politician and a great ambition to worship himself, ""Mahatma Gandhi"" has made Muslims more than Jinnah by giving Pakistan an Islamic nation, besides giving security and protection to Muslims in India It was not only anti-Hindu but an anti-Hindu act to give them more preference than Hindus.","Despite being well aware of the divisions of the nation on religious grounds by ""Mahatma Gandhi"", showing his dogma, while suffering from the longing to set himself on the highest achievement of humanity, contrary to the basic principles of partition, millions of Muslims In India, an act of curbing was done.","""Mahatma Gandhi"" by depicting himself completely disenchanted with the sanyas and Mohammaya, remained like a Muslim-skilled politician at the cost of the harm and destruction of the life-long Hindus of the Muslims.",none
2453,53,"It is not filled with emotions, which does not have juice, is not Hindu, it is a traitor, which Modi does not accept !!","_______________________________________________________________ Do you not remember that the Mughals, Genghis, Turks etc.","tortured our Hindu ancestors 1- I did not forget that Kamappasu Alauddin, to save his integrity, Queen Padmini jumped into the burning fire with 14000 women.",none
2454,54,"If Kashmir wants to separate from this country, it is also because of its conversion, which has changed the character of Kashmir.","Kashmir, once the center of Buddhism and Shaivism, became Hindu-majority and Muslim-dominated, so the Kashmir Valley is dominated by Alagism.","The result is that the CRPF jawans guard the Shankaracharya temple still present in Srinagar, but the devotees are not devotees as there are few Hindus left in Srinagar.",oppression
2455,55,"Meanwhile, in Bengal and Assam, many Bangladeshi infiltrators 🚩  come to know about the connection with the banned Islamic organization 'Huji'.",The Islamic State also invited intruders to join its agenda to increase its influence in India.,"According to the year 2000 report of the Border Management Task Force of the Government of Hindustan, 1.5 crore Bangladeshis have infiltrated and are infiltrating about three 🚩  lakhs every year.",oppression
2456,56,The people of Kashmir Valley are better than the residents of any other state in average prosperity ...,But the people of Kashmir Valley are behind the entire Kashmir problem ... Kashmiri Hindus from Kashmir Valley After the slaughter and exodus of the entire Kashmir valley has turned into an Islamic state ... All the villages and towns have been named Islamic ... Muslims of Kashmir Valley call Anantnag to Islamabad ...,"These hardcore Islamic Internal transactions in the regions also happen in Pakistani currency… Kashmir Valley has become a larger Pakistan…… Parties and leaders who call Kashmir problem political are sly and lie… Congress includes these parties Who has nurtured Pakistan-based radical Islamic organizations like the Hurriyat and placed the entire Kashmir in their clutches… The agenda of the Hurriyat is the rapid radical Islamization of the entire Kashmir so that Kashmir can be merged with Pakistan in the near future… Kashmir problem purely Religion is the issue… Kashmir parties and leaders prefer Islamic terrorists in the process of making Kashmir to Darul Islam through undisclosed zihad… Kashmir problem can be solved only by bold determination and military strength… Time of betraying the country with the slogan of humanity There is an urgent need for the hanging Kashmiri leaders and the Hurriyat's agenda, the head of the Hurriyat, Syed Shah Geelani, to be hanged in Tihar: jail for treason.",oppression
2457,57,"At the same time, the first independence revolution took place in the country and the whole country resonated with the revolution, it was a bad time for the British and for this they needed a dreaded people, Bahurduddin was greedy, so he joined hands with the British and went to Jhansi.",", He mingled with the people and entered the fort of Jhansi, and when the time came, he opened the door from behind and defeated the queen Lakshmi Bai, the same moon Miya, eight years after escaping from child prison and after a few days, Shirdi reached and she with the Sulaimani logo Found whose real job was to quietly promote Islam by staying among non-Muslims.","Chand Mian took the knowledge of al-pillow from the same and sat down in the shirdi with the name of Sai to trap Hindus, deliberately named the mosque as a Hindu and was managed by the Sulaimani Muslims, under a conspiracy Sai was shown the form of God and was taught from behind to talk of Hindu-Muslim unity to make the 👇  😡  😡  self-respecting Marathas dead as unity with their real enemies, but at the 🔴 🔴 🔵  🔴   🔵   🔴  back Sai's real aim was to increase Islam among people. . An example of this is in SaiSacharitra that a policeman ⭕ ⭕   comes ⭕ 🕋 🕋 👿 🕋 🕋 🕋   🕋   👿   🕋   🕋    ⭕  to Sai, who says that Sai is about to 👇 👇 🕋 🕋 👿 🕋 🕋 🕋 ❌    🕋   👿   🕋   🕋    👇   run away.",oppression
2458,58,Many Kafir girls have married Muslims.,Wow alla is your Venus.,_ * 2-bottle formula- * _ Make poor people drink more liquor in poor settlements and make love with their women.,none
2459,59,* 🚩 🚩 🕉   🚩   🚩🚩🚩🕉 Living with eight no children in a room of ten by ten and still preparing for the tenth is not a compulsion * but a resolve to renounce their religion and make ✍ 🚩 🚩  🚩    📚  the world Islamic.,"The eunuchs of all religions are ""completely exterminated"" # Jews in Saudi Arabia, with no #Parsis left in their ancestral place in Iran.","There are no more Hindus in Multan and Afghanistan, there are no #Sikhs in the Sikh city of Lahore.",oppression
2460,60,There will be around 500 adults.,"Other children, old man.",The village sarpanch Ramlal sat under a huge banyan.,none
2461,61,Nothing can obstruct us.,We are not going to be convinced by the talks.,"Neither temptation can buy us, nor fear of punishment can stop us.",none
2462,62,"The war is called ""Gajwa"" and the one who is victorious in this war is called ""Ghazi"", the name of any invader and aggressor who has been given Ghazi or who has been given the title of Ghazi is sure that he is the broad male of Hindus.",Was killed in the spread of Islam.,The biggest weakness of Hindus is that we know very little about religion and call ourselves secular.,none
2463,63,"During that time, the Indian people were very straightforward, the most loving people, who believed God as seated in every particle, considered the guest as God, were the people who saw the same God in the creatures, animals, birds and other animals.",Were conscious but not clever.,"After the 8th century, some ruthless Muslim rulers who came from Arab countries invaded India, demolished the looting temples in India, looted wealth, looted the honor of sister daughters, and mosques were made in place of the demolished temples.",none
2464,64,This question looks forward to a deeper investigation.,Rahul Gandhi's Muslim Prime Minister's 🇺  🇪  🇺  🇪  statement 🇺  🇪  🇺  🇪  has to be examined in this background.,"Before 1947, Muhammad Ali Jinnah and the British Government were saying in one voice that injustice is being done to Muslims in the year of India.",none
2465,65,* * Fear occurs when walking on the road to Mumbai.,"The bomb explodes, and a whole family becomes a heap of rags.","* * Fear arises when a gift of death is found in the temples of Banaras, Ahmedabad, to see God.",oppression
2466,66,"_ In 1947, our soldiers took small children of Kafirs to the sky and took them to the flag and spear.",10/10 Muslims were accompanied by their women and Alhadani iron nohar was heated and red-pasted on their udder.,Many women had their udder cut.,none
2467,67,"How will you know, because these robbers have kept all the places Ghazni, Gauri, Babur, Aurangzeb. """"","Proudly share and copy this post of mine so that this message reaches my people and proves the meaning of the post """" """" ""To join me open my profile Vikram Hindu and click on follow and see first Select """" """,,none
2468,68,,"* Administrator 🚩  ✊ 🔽 🔽 🔽 🔽 🔽  👉   🔽   🔽   🔽   🔽   Committee * * 🔽🔽🔽🔽🔽🔽🔽🔽🔽 * Because population control law is as important as 🙏  👉  it is necessary for Hindutva government (BJP) * I have heard this from many people .. even started Initially I also believed that if Kashmiri * Hindus * had organized and fought and raised arms, 👉  today the story of Kashmir would have been different .. * 👉 ..",The phase of 1990 started… to a Hindu named Murali.,none
2469,69,"Actually, these things are right or wrong, these things can be debated and we can all have different opinions on these things.",In this way the scale of morality or immorality is different for every person / place.,"And then when it comes to spreading religion, morality  The difficulty of immorality increases even more.",none
2470,70,"After leaving Jaipur, the boys of Muslims stopped the car and asked them whether they were Hindu or Muslim Hindu, on the answer, 7 people of his family were injured in which his wife, his three children and himself and His elder brother and his boy were present in the car at that time because of the Hindu Muslim fight, today their family has suffered a great shock, spread it from the front to make the Hindus aware that this incident can also happen with every Hindu's family tomorrow.","The Bitter Truth: If 100 crore Hindus were to replace 100 crore Muslims in the country, today there would have been any doubt on the Supreme Court",,culture
2471,71,The temples of the country had become round domes!,"Yes yes, son will definitely go to the temple.",But in the heat of the summer !!,none
2472,72,Wretched attempts of clerics are heard from mosques all around.,"On a small scale, there are battles and bloodshed in the Muslim neighborhood.",Prayers are offered by stopping the way of people on the streets.,oppression
2473,73,She never met again.,"~ During this time, the situation had become such that no ""Kafir woman"" could return from ""Pakistan-supported Muslim dominated areas"" without ""raping"" them.",~ The women who came back to life from there were afraid to get their investigations done.,oppression
2474,74,And it is described as an ideal Tehzeeb.,"And as an example of Hindu-Muslim unity, Alim writes that - ""All the shops around mosques were closed at the time of Holi.",A Hindu could not help a Muslim to paint.,none
2475,75,"If you sit in it will kill (killing Meerut 250 riders) * * If you speak against his party and his religion, then he will kill you by immersing him in acid (3 sons, Chanda Babu Siwan Bihar killer Shahabuddin) * * If you his If you play DJ in front of Masjid, he will kill you (Piplarava Dewas Dharmendra Shinde, killer Noshad Sikandar Shakir) * * If you do anything and come in contact with him, # he will kill you for any reason (anyone in the blank Murderers may be from among us) #Muslama n .... * * Will have to improve #Hindus_Journalism_Should be from unity.","They are not Kafir for those who are weak or strong or do not kill by looking at caste and for you, you need a lot of land and goods.","* * The assassination given above are the latest examples right now, since WhatsApp Facebook has come, otherwise no one knows how much has happened before ..",none
2476,76,"His video has been uploaded on social media which he created before the attack and after the attack, his colleagues have uploaded the video on social media.",His words are as follows: - Listen and know carefully the musrikos (murti worshipers) of the whole of India.,"Deep wounds that are impossible to fill… from hijacking IC 814 to sending (mind) to Mushriko sitting in your Parliament, from Badami Bago's fidayeen blast to Nagrota's burning campo, from Pathankot Airbase to Pulwama Police Till the line, from the devastation of the BSF campo in Srinagar to our skulls fired by bullets of our brave snipers, and from the big IED blasts to the target killing of your big officers, there are many scary dreams that will keep you asleep.",none
2477,77,There is no feeling of atonement in his mind.,"Leave out loud opposition to such incidents, even writing a word does not speak.",These are the two contradictions of the world in which humanity is suffering from sesame seeds.,none
2478,78,"As many as those who love Pakistan are in Aligarh University, not even in Pakistan… Real brother of an omniscient history professor Irfan Habib… is a Pakistani citizen and lives in Pakistan !!","The roots of pro-Kashmiri-pro-Pak leaders, Abdullahs and Libyans are also rooted in the AMU .. Mufti Mohammed Saeed, the daughter of the then housewife Rubaiyya Saeed, was a student of the same AMU ... who was kidnapped by a dozen Paki terrorists from Kashmiri jails.",Was rescued!,culture
2479,79,"- Quran Majeed, Surah Muhammad, verse 4 * * 🚩5.","A Prophet 1 fight with the infidels and the profiteers, and harden them, their whereabouts are arrogant, and are very bad places.","- Quran Majeed, Surah Tehrim, Aayat 9 * * Now what will you say Momin Sahib.",culture
2480,80,14-Kalawa Motor Cycle- Muslim jawans should tie Kalwa in their hands and change their name to Hindu name.,"Riding on a motorcycle, standing near colleges and schools in Hindu locality to fight the love of Hindu girls.",Also ash in hotels yourself and take the work of call girls from them.,culture
2481,81,This article has been prepared by Rajnish Tiwari Raj based on the interview given by Sadhvi Ji to Sudarshan TV Chairman Suresh Chauhan.,There is no copy right on this article.,"For public awareness among Hindus, the conspiracy towards saffron should be extended to the people.",none
2482,82,,"Poisons are of two types, one is fast poisoning and the other is slow poisoning.","Islamic terrorism is fast poisoning and its effect is visible immediately, but Buddhist terrorism composed of a mixture of crypto-christian + left-wing + Islam + congress is like slow poison …… …… it has a gradual effect.",none
2483,83,Poverty is in every category.,* * Is Brahmin not a Savarna poor?,What is the benefit to them?,none
2484,84,Mamta Banerjee reads Namaz daily and her real name is Mumtaz Masama Khatoon!,He has taken a master's degree from the University of Kolkata on the History of Islam!,Have you ever wondered why she speaks Urdu better than Hindi?,none
2485,85,* A poem written by Jhansi-Lalitpur Lok Sabha Expander Shivendra Singh Shivaji (Manu) ji - * Bitter but true * We have a habit of forgetting - * We forget the sacrifices of the navigators.,* * We forget to be made of Jauhar To the problem || * * We forget the red desert with blood.,* * We forget the knowledge of our guru || * Guru Govind Singh Ji said- Soak your hand in oil and then in sesame sack.,none
2486,86,"* To understand the secret of this nefarious alliance of secular and Muslims, it is necessary to resort to Quran, * 1-secular Symptoms * Although neither Arabic has a word for secular, nor do the Quran refer to secular people, the secular signs mentioned in the Quran fit the current secular leaders, * ""When these people are with Muslims When we meet, we tell them that we too are believers.","And when we meet our leaders in seclusion ,,,,, they tell them that we are with you.","We joke with the Muslims ""* Sura-Bakra 2: 14 * ""O Prophet when it comes to you, he says that we believe that you are the Messenger of Allah.",none
2487,87,"Sora Rick - 86: 16, 17 21 - There are many women taking off their clothes.","""Women who have passed their days of youth and when they have no hope of marriage, if they take off their clothes, then there will be no crime for them.","Sura Un Noor-24: 60"" It is not abominable to cohabit with the servants who are in their possession ""Sura-Al-Mominun 23: 6"" We have made your potters red, which Allah has given you in male money ""Sura-Ahhab 33:50 ""Except for wives, your marriages are also halal for you, Allah is the news of all things"" Surah-Ahzab 33:52 In the Islamic definition, Arabic for all who are grabbed, caught, kidnapped or bought.",culture
2488,88,"● 1 January 2009 - Bomb blast in Guwahati, 6 dead, 67 injured ● 6 April 2009, bomb blast in Guwahati, 7 dead 62 injured ● 13 February 2010 - Bomb blast at a German bakery in Pune, 17 dead, 70 injured ... SIMI International The bomb blast by the Indian branch of the Mujahideen Islamic Muslim Front.","● 7 December 2010 - Dashaswamedh Ghas  Bomb blast at Ganga Aarti on T, 3 dead, 36 injured ... Outfit of the Islamic Movement of India Mujahideen carried out the blast.","● 13 July 2011 - A horrific Bam blast at Opera House, Zaveri Bazar and Dadar area of ​​Mumbai, 130 dead, 26 injured ...",oppression
2489,89,Hindus go to the Fakirs And they have great reverence.,May the Muslim fakirs be reminded of the short sentences which they uttered while begging the Hindus and on hearing of which the good of Islam and evil of the Hindus are revealed.,* * ~ (2) Taking out such processions in villages and towns  Which should influence the Hindu people and then to make Muslims by that effect.,culture
2490,90,"When those Muslims came to attack 26/11, they knew very well that they would not survive themselves.","Even when those Muslims came to attack Parliament, they knew that they would be killed.","Even when those Muslims were going to fight the ship at the World Trade Center, they knew that even their dead bodies would not be recognized.",oppression
2491,91,,Stoning in Jodhpur on the occasion of Ram Navami.,"Slowly becoming Kashmir, these are not the Hindus but the Muslims injured the stones, but you should decide, today, the blood is being opened, these Muslims are making a furore under the Congress 👆  👆  👆  👆  rule, now understand the time.",none
2492,92,"Modi ji is sensible, he is not repeating Atal ji's mistake, as long as Pakistan does not improve with its chikki chupi things, there is no use of any conversation.",* * The matter of building Kartarpur corridor is good.,"This is a comfort for the Sikh community, but it will not improve some relations.",none
2493,93,"* ⚜ ⛳   ना Sanatan Dharm Rakshak ⛳  ⚜  ⛳  Samiti * ⛳⚜ ⛳  * तन Sanatan Dharm Ki Jai Ho * ⛳ ** Islamic Bollywood * ● ▬▬▬▬ஜ ۩۞۩ ஜ▬▬▬▬ ● ● ▬▬▬▬ஜ ۩۞۩ ஜ▬ ** ● ** Whatever you think, but do read this post once * ** An effective weapon made for bollywood Ghazwa-e-Hind *.","** In Bollywood today, Muslims have been taken over whether it is an actor or a director or a director or a musician or a singer *.","** Those who are running production house mullets, they work from top to bottom * ** Only keep mullahs *.",oppression
2494,94,5 - Buddhist countries --- to make Buddhists fascist.,"These Muslims already create ""mental pressure"" 〰 〰 〰 〰 〰 〰 〰 〰 〰 〰           〰  on seculars, for this they find ""secular"" in other religion and pull their praise.",They bind :)) so that their agenda of Islamization 〰 〰 〰 〰     〰  〰  〰  〰  〰  〰  goes on silently….,culture
2495,95,Allah Ho Akbar!!,We(Muslims) will rape every Hindu soon,,none
2496,96,** Efforts are on to increase Islam cleverly and degrade Hinduism *.,** 🙏 🙏 🙏 🙏  🙏   🙏   🙏   🙏  Everyone is requested to share this ⛳  ⛳  message as ⛳ ⚜ ⛳ ⚜  🕉   🕉    ⛳  much as possible and boycott Bollywood and make everyone aware as well * साझा Must share for public awareness .. * Jai Shriram * ⛳⛳ * Vande Mataram .. * ⛳⛳ ⚜🕉⛳🕉⚜,,none
2497,97,"The Peshwa hoped that - Rajputs, Jats, Sikhs and local Hindus would support him, but they all shied away from the fight thinking that if the Marathas won, the Marathas would dominate in North India.",The Marathas did not even get food to get together.,"In contrast, Nawav Sujouddoula of Awadh, Rohilla Sardar of Bareilly and local small Muslim princely states and jagirdar Abdali joined as soon as Abdali gave the slogan of Jihad.",none
2498,98,"As a result, today the Hindu land is almost Hindu 🤔  without Kerala.","* A few centuries ago, Kashmir was a purely Hindu land.","* Because our mind board has accepted the Hindu Holocaust, it is no longer objectionable to us, but has accepted this destiny.",none
2499,99,"All we have to do is that we also have to tell Jomato indirectly, Fuck Jomato!",Run your business from Muslims only!,"For this, uninstall the zomato app from your phone!",none
2500,100,You also see how Anupam has expressed the pain 🚩  of Kashmiri Pandits.,"https://youtu.be/LPcfGSS04hQ श्री Shri Pramod Muthalik of Karnataka, #Sriram Sena (National President) said that it is not a question of displacement of Kashmiri Hindus, it is a problem of the whole of #India.",# Why Hindus were expelled from Kashmir in 1990?,none
2501,101,"* Administrator 🚩  ✊ 👉 👉    Committee * * 👉👉HIGHWAY HOTEL WITH HINDU NAMES AND CHELIA MUSLIM OWNER, NOT ALLOWING ANY HINDU HOTEL TO RUN IN COMPITITION.","You will find many hotels on the highway * of Rajasthan, Maharashtra, Gujarat, which will be named * Bhagyodaya *, * Sarvodaya, Alankar, Tulsi, best * etc.",Hindu names.,oppression
2502,102,"At home, friends, do not be shy to discuss, our so-called shameless family will be able to save the precious life of a family's respect and sister-daughter.",Let us fulfill our moral obligation.,Jai Hind...,none
2503,103,"Transformation in Islam is a complex process, due to many reasons.",To say that only Dalits adopted Islam for liberation from casteism is a sheer lie.,It is close to the truth to say that most of the Dalits rejected it.,none
2504,104,"And yes once Babar Haji Ali, must read about Haider… Sadness and fear is just about what the future will be…?",2200 Hindu girls missing ... Kerala DGP says 2200 Hindu girls missing in Kerala suspects that they have been trapped in terrorist attacks and sent to terrorist organizations ... Muslim boys implicate Hindu girls in their love trap They convert to religion and marry them and deceive them and send them to terrorist organizations ...,"These unfortunate girls have to satisfy the hunger for lust of 15 to 20 terrorists in a day, in which they also die many times.",oppression
2505,105,# * * # The law of the country in which you live applies to every citizen.,"Is, Sikhs Demanded Khalistan, shot was not found?","# * * # Tamils ​​originated in Sri Lanka, bullet was not found?",none
2506,106,,*Why Hindus Lag Behind In Kerala?,"*  By *Dr C I Issac,*     *A powerful field that can control society is Education.",none
2507,107,"Their problem is not from the cow, but from our ""existence"".","As long as you are there, they will have some problem.","Therefore, O Arjun, do not follow up… Krishna does not hold an hour-long class again and again .. 25 years ago Kashmiri Hindus lost everything… They stayed in refugee camps, but still they are not terrorists Being made .... while Kashmiri Muslims were given everything .... yet they are making the Jannat as a terrorist.",none
2508,108,"So when that customer saw that his veg had brought a Muslim delivery boy, those customers refused to take that food from Jomato!","But you will be surprised to know that, the owner of Jomato, told that Hindu customer, if you go, we will not change our rules!","That is, the owner of the Jomato company, who can change his rules at the behest of a Muslim, says the same man indirectly to a Hindu, ""Fuck the Hindus!""",none
2509,109,"Their presence in the blood donation camp is almost negligible and the organ donation is totally unsafe in Khair Islam, about 6% in the police department and 32% in jails, Muslim is about 0% in Olympic medals, but about 44% in crime.",", Their contribution to income tax is about 61% in electric water 👈  💃  💃  theft at just 3%, 6% for buying new cars, puncture at 6%, Muslim women at 2% in social service, at about 2%, this is about 41%!","They will get 4% in expensive cases, they will get 47% in the cheap girls house, about 4% of their children in expensive CBSE schools, but 100% of the whole in free madrasas, Muslims who raise slogans in the interest of the country just 😂  😂  😂  0.01% in raising anti-national slogans Muslims are 99.99%.",culture
2510,110,For the sake of my children….,"The ""secular"" way of converting Hindus to Muslims was Dr. Vivek Arya, who started from Muhammad bin Qasim in the 8th century, through the Islamic typhoon, Gauri, Ghajini, Timur Lang, etc.",to Nadir Shah in the 17th century.,oppression
2511,111,Do any Muslims have any objection ??,Do not you mind that a Muslim has been named terrorist organization in the name of his prophet? .,"That is, you cannot make cartoons in the name of Mohammad and Islam, but you can make terrorist organizations and can also shed blood in the name of Islam and Mohammed.",culture
2512,112,,"* Saddened by the terror of Muslims, the countries which are most oppressed on Muslims * * 1 - China: - * * Roja * *, Ramadan, Beard, Burkha Sab * * Banned.","* * 2 - Myanmar: - * * Muslims Orders to kill, mosques were almost all demolished.",oppression
2513,113,"In the riots in Bengal this year, hundreds of Hindus' homes and shops were looted and many temples were also destroyed.","In these riots, the government ordered the police not to do anything against the rioters!",* Hindus are boycotted!,none
